상품명,상품설명,중량,생산자명,면세여부,상태
임실치즈쿠키,,62g,,N,상온
해남단호박쿠키,,66g,,N,상온
스모크브랏소시지,,1.81kg,,N,냉동
베다체다소시지,,1.81kg,,N,냉동
에너지바,,600g,,N,상온
폴리시소시지,,1.814kg,,N,냉동
쌀새우깡,,80g,,N,상온
드링킹요거트,,250g,,N,냉장
드링킹요거트,,250g,,N,냉장
드링킹요거트,,250g,,N,냉장
떠먹는요거트,,150g,,N,냉장
떠먹는요거트,,150g,,N,냉장
떠먹는요거트,,150g,,N,냉장
머쉬룸크림,,500g,,N,상온
애플사이더분말,,500g,,N,상온
우유샌드위치식빵,,270g,,N,상온
흑미식빵,,300g,,N,상온
잡곡식빵,,300g,,N,상온
옥수수식빵,,300g,,N,상온
양파모닝빵,,180g,,N,상온
치즈빵,,105g,,N,상온
팥빵,,80g,,N,상온
소보루빵,,70g,,N,상온
딸기크림빵,,80g,,N,상온
초코카스텔라,,100g,,N,상온
찰보리카스텔라,,150g,,N,상온
현미마드레느,,85g,,N,상온
블루베리머핀,,120g,,N,상온
경주빵,,180g,,N,상온
초코칩쿠키,,150g,,N,상온
쌀떡뻥,,30g,,N,상온
쌀떡뻥,,30g,,N,상온
쌀과자,,25g,,N,상온
쌀과자,,25g,,N,상온
쌀과자,,25g,,N,상온
청포도농축액,,2kg,,N,상온
김치전,,1kg,,N,냉동
마늘빵,,100g,,N,상온
우동쯔유,,1.8kg,,N,상온
워터젤리,,130g,,N,냉장
워터젤리,,130g,,N,냉장
워터젤리,,130g,,N,냉장
워터젤리,,130g,,N,냉장
오렌지주스,,750g,,N,냉장
단무지,,2.8kg,,N,상온
가쯔오쯔유,,1.8kg,,N,상온
미니어처캔디,,1.02kg,,N,상온
화이트소스파우더,,1kg,,N,상온
오리지날스모크소시지,,396g,,N,냉장
갈릭스모크소시지,,396g,,N,냉장
베다체다소시지,,396g,,N,냉장
코테키노,,1.8kg,,N,냉장
젤리,,100g,,N,상온
코코아화이트청크쿠키생지,,2kg,,N,냉동
화이트청크딜라이트쿠키생지,,2kg,,N,냉동
바질어니언시즈닝,,110g,,N,상온
팝콘스낵,,50g,,N,상온
팝콘스낵,,50g,,N,상온
우리쌀프레이크,,280g,,N,상온
육개장,,1.5kg,,N,냉동
불맛향미유,,1kg,,N,상온
짬뽕소스,,2kg,,N,냉장
짜장소스,,2kg,,N,냉동
짜먹는요구르트,,240g,,N,냉장
아이스크림,,90g,,N,냉동
아이스크림,,90g,,N,냉동
흰우유,,100g,,Y,냉장
탄산음료,,330g,,N,상온
풍기리조또,,175g,,N,상온
된장찌개베이스,,2kg,,N,냉장
훈제파프리카스위트,,70g,,N,상온
팝콘스낵,,70g,,N,상온
팝콘스낵,,70g,,N,상온
토마토페이스트,,3.15kg,,N,상온
초코우유,,190g,,N,상온
딸기우유,,190g,,N,상온
스파게티,,500g,,N,상온
펜네,,500g,,N,상온
산고추,,4kg,,N,상온
구미젤리,,50g,,N,상온
구미젤리,,50g,,N,상온
크레용신찬,,20g,,N,상온
그릴콤비네이션피자,,415g,,N,냉동
요쿠르트,,150g,,N,냉장
컵반,,189g,,N,상온
컵반,,216g,,N,상온
우지마차믹스파우더,,1kg,,N,상온
미니팔미어파이생지,,900g,,N,냉동
딸기잼파이생지,,1.5kg,,N,냉동
자몽농축액,,1.8kg,,N,냉장
애플파이생지,,1.5kg,,N,냉동
먹물빵생지,,2kg,,N,냉동
크랜베리스콘생지,,900g,,N,냉동
피넛쿠키생지,,2.4kg,,N,냉동
딸기베이스,,1kg,,N,상온
닭가슴살&메추리알샐러드,,205g,,N,냉장
파인애플냉동퓨레,,1kg,,N,냉동
매쉬포테이토샐러드,,220g,,N,냉장
치킨시저샐러드,,245g,,N,냉장
부드러운육포,,30g,,N,상온
제주감귤주스,,210g,,N,냉장
포테이토크리스프,,90g,,N,상온
